Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
"The Postmistress of Paris","Meg Waite Clayton","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Signature of All Things","Elizabeth Gilbert","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Island Queen","Vanessa Riley","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Sweetness of Water","Nathan Harris","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Orphan Train","Christina Baker Kline","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Under the Wide and Starry Sky","Nancy Horan","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Loving Frank","Nancy Horan","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Z: A Novel of Zelda Fitzgerald","Therese Anne Fowler","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Zookeeper's Wife","Diane Ackerman","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Painted Girls","Cathy Marie Buchanan","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Snow Flower and the Secret Fan","Lisa See","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"To Capture What We Cannot Keep","Beatrice Colin","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Moloka'i","Alan Brennert","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Danish Girl","David Ebershoff","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Many Daughters of Afong Moy","Jamie Ford","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"River Sing Me Home","Eleanor Shearer","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Lilac Girls","Martha Hall Kelly","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Run Rose Run","Dolly Parton","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Know My Name","Chanel Miller","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Just Mercy","Bryan Stevenson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Born a Crime","Trevor Noah","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Glass Castle","Jeannette Walls","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Educated","Tara Westover","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Year of Magical Thinking","Joan Didion","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Eat, Pray, Love","Elizabeth Gilbert","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Sun Does Shine","Anthony Ray Hinton","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Broken Horses","Brandi Carlile","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Light We Carry","Michelle Obama","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Million Little Pieces","James Frey","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Lit","Mary Karr","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Liar's Club","Mary Karr","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Shantaram","Gregory David Roberts","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Master Plan","Chris Wilson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Imperfect Endings","Zoe Fitzgerald Carter","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Monk of Mokha","Dave Eggers","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Dying to Be Me","Anita Moorjani","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Line Becomes a River","Francisco Cantú","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Oregon Trail","Rinker Buck","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Lots of Candles, Plenty of Cake","Anna Quindlen","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Happy-Go-Lucky","David Sedaris","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Lucky","Alice Sebold","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Magical Thinking","Augusten Burroughs","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Girl Named Zippy","Haven Kimmel","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"With or Without You","Domenica Ruta","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"I Am Because You Are","Jacob Lief","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Heartland","Sarah Smarsh","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Careless People","Sarah Wynn Williams","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Verity","Colleen Hoover","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Gone Girl","Gillian Flynn","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Girl with the Dragon Tattoo","Stieg Larsson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Girl Who Played with Fire","Stieg Larsson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Girl Who Kicked the Hornet's Nest","Stieg Larsson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Girl Who Lived Twice","David Lagercrantz","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Girl on the Train","Paula Hawkins","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Maid","Nita Prose","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Sadie","Courtney Summers","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Child","Fiona Barton","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Night Bird","Brian Freeman","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Lightning Strike","William Kent Krueger","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The House Across the Lake","Riley Sager","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Pretty Things","Janelle Brown","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Bunny","Mona Awad","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Truly Madly Guilty","Liane Moriarty","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"When I'm Gone","Emily Bleeker","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"I Am the Messenger","Markus Zusak","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Daring Greatly","Brené Brown","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Dare to Lead","Brené Brown","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Braving the Wilderness","Brené Brown","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Stages of Meditation","The Dalai Lama","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"An Open Heart","The Dalai Lama","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Art of Happiness","The Dalai Lama","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Middle Way","The Dalai Lama","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Mind in Comfort and Ease","The Dalai Lama","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Alchemist","Paulo Coelho","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Anger","Thich Nhat Hanh","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"How to Meet Your Self","Dr. Nicole LePera","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"How to Be the Love You Seek","Dr. Nicole LePera","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Infinite Possibilities","Mike Dooley","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Notes from the Universe","Mike Dooley","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"How to Win Friends & Influence People","Dale Carnegie","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Buddha Walks into the Office","Lodro Rinzler","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Ramakrishna and His Disciples","Christopher Isherwood","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Mindfulness in Plain English","Bhante Gunaratana","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Taking the Leap","Pema Chödrön","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"No Self, No Problem","Anam Thubten","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Perfectly Imperfect","Baron Baptiste","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Mentors","Russell Brand","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Art of Worldly Wisdom","Baltasar Gracián","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"How to Talk So Kids Will Listen","Adele Faber","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Self-Driven Child","William Stixrud","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Leadership (HBR's 10 Must Reads)","Harvard Business Review","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"People We Meet on Vacation","Emily Henry","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Beach Read","Emily Henry","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Me Before You","Jojo Moyes","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Man Called Ove","Fredrik Backman","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"My Grandmother Asked Me to Tell You She's Sorry","Fredrik Backman","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Invisible Life of Addie LaRue","V.E. Schwab","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Time Traveler's Wife","Audrey Niffenegger","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Bookshop of Second Chances","Jackie Fraser","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Little Paris Bookshop","Nina George","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Little French Bistro","Nina George","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Flamenco Academy","Sarah Bird","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Hurricane Sisters","Dorothea Benton Frank","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Gemini","Carol Cassella","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","Jonas Jonasson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"It Starts with Us","Colleen Hoover","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"A Court of Thorns and Roses","Sarah J. Maas","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Devil in the White City","Erik Larson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Dead Wake","Erik Larson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Swerve","Stephen Greenblatt","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"The Boys in the Boat","Daniel James Brown","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Little Movements","Lauren Morrow","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Silence on the Mountain","Daniel Wilkinson","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Bitter Fruit","Stephen Schlesinger","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Wards of the State","Claudia Rowe","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
"Empire of AI","Karen Hao","","5","4.0","","","","","","2024/12/27","2024/12/27","","","read","","","","1","0"
